,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVARBS263 TB_Glc_amp_kan 25uMIPTG_200nMaTet_3.mzXML,118791.01953125,47730.860534668,90903.4235839844,17919757.7744141,3031534.08276367,3047688.27856445,0.0026635885,3,sample,-18.1409100054,-7.4070060059,-3.3093270457,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS263,0.1156359423,MVARBS263 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.639,2.346
MVARBS264 TB_Glc_amp_kan 25uMIPTG_200nMaTet_15.mzXML,853083.750976562,599370.400024414,429589.029052734,14969437.6932373,2478985.49145508,2524941.21044922,0.0400396069,15,sample,-4.6766381564,5.2549632963,8.5576700751,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS264,1.7382631313,MVARBS264 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.207,2.291
MVARBS265 TB_Glc_amp_kan 25uMIPTG_200nMaTet_27.mzXML,932567.969482422,655671.048309326,471529.161376953,17132959.2675781,2837328.58837891,2890010.04858398,0.0382695738,27,sample,-5.314271801,4.6553246582,7.9956792962,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS265,1.6614196376,MVARBS265 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.09,1.968
MVARBS266 TB_Glc_amp_kan 25uMIPTG_200nMaTet_39.mzXML,761899.467285156,500484.274658203,397767.113525391,15126296.723938,2477683.61108398,2527952.26074219,0.0330870327,39,sample,-7.1812213688,2.8996219822,6.3502070869,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS266,1.4364269189,MVARBS266 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.109,1.777
MVARBS267 TB_Glc_amp_kan 25uMIPTG_200nMaTet_51.mzXML,217412.301757812,111664.509338379,142472.477539062,15296539.6651611,2519756.27587891,2584629.88378906,0.0072999849,51,sample,-16.4707026083,-5.8363221228,-1.8372573641,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS267,0.3169185638,MVARBS267 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.199,2.326
MVARBS268 TB_Glc_amp_kan 25uMIPTG_200nMaTet_63.mzXML,812807.051757812,545859.506103516,413510.344726562,15375367.5089111,2551969.00048828,2579172.35131836,0.0355022087,63,sample,-6.3111825757,3.7178173226,7.1170326508,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS268,1.5412783818,MVARBS268 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.94,1.891
MVARBS269 TB_Glc_amp_kan 25uMIPTG_200nMaTet_75.mzXML,739362.737548828,502284.535644531,381490.434082031,15473210.9483643,2515149.70654297,2527751.69873047,0.0324615581,75,sample,-7.4065412714,2.6877283335,6.1516170209,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS269,1.4092728177,MVARBS269 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.752,1.692
MVARBS270 TB_Glc_amp_kan 25uMIPTG_200nMaTet_87.mzXML,717243.020019531,474715.789459229,368717.70703125,15497467.1213379,2529904.296875,2596763.15527344,0.0306318307,87,sample,-8.0656790674,2.067866923,5.570673141,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS270,1.3298377824,MVARBS270 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.788,1.535
MVARBS271 TB_Glc_amp_kan 25uMIPTG_200nMaTet_4.mzXML,846732.192138672,607602.284545898,442448.038085938,17421943.0611572,2938388.27783203,2942742.63354492,0.03487569,4,sample,-6.5368785993,3.505569965,6.9181110832,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS271,1.514078953,MVARBS271 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.253,1.718
MVARBS272 TB_Glc_amp_kan 25uMIPTG_200nMaTet_16.mzXML,649797.4609375,437665.017150879,350130.096679688,15129117.1820679,2456851.36083984,2550516.56738281,0.0289286554,16,sample,-8.6792279902,1.490877858,5.0299098987,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS272,1.2558968241,MVARBS272 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.686,1.733
MVARBS273 TB_Glc_amp_kan 25uMIPTG_200nMaTet_28.mzXML,277031.285400391,149708.923461914,166269.614746094,15496241.2724609,2573195.49194336,2584775.76782227,0.009660983,28,sample,-15.6201807778,-5.0364807775,-1.0876334538,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS273,0.4194179683,MVARBS273 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.321,2.35
MVARBS274 TB_Glc_amp_kan 25uMIPTG_200nMaTet_40.mzXML,213199.013427734,109874.948486328,137801.14453125,15982132.2758789,2624668.59375,2641700.45605469,0.0068748617,40,sample,-16.6238482814,-5.9803422254,-1.9722352733,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS274,0.2984624351,MVARBS274 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.609,2.605
MVARBS275 TB_Glc_amp_kan 25uMIPTG_200nMaTet_52.mzXML,363432.984619141,237711.516235352,207831.564208984,16871492.675415,2809355.50854492,2811584.62060547,0.0140895368,52,sample,-14.024846273,-3.536208297,0.318445552,<LOD,<LOD,NA,170731xxxLIM02.xls,MVARBS275,0.6116773917,MVARBS275 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.654,1.982
MVARBS276 TB_Glc_amp_kan 25uMIPTG_200nMaTet_64.mzXML,302543.828613281,185419.025878906,175044.250976562,15039863.9827881,2463827.58227539,2518062.06054688,0.0123285042,64,sample,-14.6592375889,-4.1327978087,-0.2406875377,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS276,0.5352246426,MVARBS276 TB_Glc_amp_kan 25uMIPTG_200nMaTet,2.069,2.494
MVARBS277 TB_Glc_amp_kan 25uMIPTG_200nMaTet_76.mzXML,859902.018310547,592215.772155762,453598.018066406,15332865.4775391,2557156.3046875,2618724.57226562,0.0386239463,76,sample,-5.1866132671,4.7753763369,8.1081936208,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS277,1.6768042206,MVARBS277 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.123,1.923
MVARBS278 TB_Glc_amp_kan 25uMIPTG_200nMaTet_88.mzXML,665086.525390625,435450.989257812,365271.689697266,15898174.1176758,2671078.52099609,2688877.75732422,0.02739,88,sample,-9.2335105239,0.9696236449,4.5413822379,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS278,1.1890982686,MVARBS278 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.57,1.744
MVARBS280 TB_Glc_amp_kan 25uMIPTG_200nMaTet_5.mzXML,800934.852294922,569109.711669922,432783.960449219,15737725.0294189,2582559.47314453,2664117.34936523,0.0361621334,5,sample,-6.0734524546,3.9413816958,7.3265607036,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS280,1.5699280825,MVARBS280 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.786,1.883
MVARBS281 TB_Glc_amp_kan 25uMIPTG_200nMaTet_17.mzXML,261340.089599609,156415.510253906,157274.622802734,18337165.6677246,3162334.89379883,3148433.7109375,0.008529972,17,sample,-16.0276142017,-5.4196362548,-1.4467328037,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS281,0.3703167203,MVARBS281 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.8,2.565
MVARBS282 TB_Glc_amp_kan 25uMIPTG_200nMaTet_29.mzXML,883319.197753906,612832.063354492,441173.013427734,15670350.8251953,2578103.38574219,2615643.05493164,0.0391077437,29,sample,-5.0123309267,4.9392736251,8.2618007416,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS282,1.6978076041,MVARBS282 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.856,2.078
MVARBS283 TB_Glc_amp_kan 25uMIPTG_200nMaTet_41.mzXML,307179.307617188,174752.462524414,188570.014160156,16143491.0386963,2694675.87280273,2762006.69213867,0.0108249487,41,sample,-15.2008757933,-4.6421611366,-0.7180708737,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS283,0.4699499002,MVARBS283 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.812,2.419
MVARBS284 TB_Glc_amp_kan 25uMIPTG_200nMaTet_53.mzXML,928054.461425781,645393.108520508,477450.583007812,14799558.9794922,2410687.18115234,2454331.3425293,0.043608942,53,sample,-3.390827086,6.4641560758,9.6909445991,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS284,1.8932207871,MVARBS284 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.956,1.846
MVARBS287 TB_Glc_amp_kan 25uMIPTG_200nMaTet_89.mzXML,132637.039550781,53306.8765869141,103720.045898438,16520732.4804688,2734553.78833008,2796016.65551758,0.0032266654,89,sample,-17.9380681429,-7.2162509866,-3.1305484362,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS287,0.1400811351,MVARBS287 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.263,2.05
MVARBS291 TB_Glc_amp_kan 25uMIPTG_200nMaTet_42.mzXML,329696.894775391,207387.580993652,184329.143798828,17120582.9053955,2840466.21630859,2915811.89111328,0.0121133481,42,sample,-14.7367450263,-4.2056867701,-0.3090002208,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS291,0.5258839463,MVARBS291 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.979,2.725
MVARBS292 TB_Glc_amp_kan 25uMIPTG_200nMaTet_54.mzXML,802742.014648438,557030.462036133,407645.470947266,15494564.78125,2547400.07275391,2545474.66552734,0.0359500554,54,sample,-6.1498510644,3.8695354896,7.2592253072,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS292,1.5607210149,MVARBS292 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.944,1.761
MVARBS295 TB_Glc_amp_kan 25uMIPTG_200nMaTet_90.mzXML,808480.003417969,557781.004638672,409312.369384766,15044552.6265869,2474592.07885742,2490575.53051758,0.0370752802,90,sample,-5.7445020211,4.2507307893,7.6164875478,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS295,1.6095710668,MVARBS295 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.711,1.808
MVARBS296 TB_Glc_amp_kan 25uMIPTG_200nMaTet_7.mzXML,136744.690185547,50495.6094970703,99853.958984375,14844040.1618652,2435965.40185547,2450811.34350586,0.003401743,7,sample,-17.8749985135,-7.1569395199,-3.0749607951,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS296,0.14768188,MVARBS296 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.388,2.346
MVARBS298 TB_Glc_amp_kan 25uMIPTG_200nMaTet_31.mzXML,809954.504638672,570413.149963379,428697.2890625,15588574.8948975,2584502.46557617,2626233.82519531,0.0365917445,31,sample,-5.9186900865,4.0869221584,7.4629635181,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS298,1.5885790448,MVARBS298 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.119,2.284
MVARBS299 TB_Glc_amp_kan 25uMIPTG_200nMaTet_43.mzXML,722632.701171875,486363.283203125,391013.297607422,16068455.117981,2645409.45800781,2679022.23876953,0.0302682044,43,sample,-8.1966711964,1.9446802899,5.4552206877,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS299,1.314051456,MVARBS299 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.233,1.5
MVARBS300 TB_Glc_amp_kan 25uMIPTG_200nMaTet_55.mzXML,766927.071777344,556946.437255859,411278.413818359,16963775.5566406,2826462.8815918,2823454.88208008,0.0328315142,55,sample,-7.2732689339,2.813059303,6.2690791802,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS300,1.4253339401,MVARBS300 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.951,1.483
MVARBS301 TB_Glc_amp_kan 25uMIPTG_200nMaTet_67.mzXML,391822.076660156,236025.63458252,218557.775634766,14974389.8790283,2481509.47338867,2480151.95068359,0.0157619533,67,sample,-13.4223778324,-2.9696394556,0.8494427965,<LOD,<LOD,NA,170731xxxLIM02.xls,MVARBS301,0.6842830019,MVARBS301 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.631,1.722
MVARBS302 TB_Glc_amp_kan 25uMIPTG_200nMaTet_79.mzXML,1086641.22485352,748021.591247559,519812.004394531,17561536.3325806,2932315.44335938,3003052.76831055,0.0425943139,79,sample,-3.7563349298,6.1204279374,9.3687971723,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS302,1.8491721395,MVARBS302 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.212,2.151
MVARBS304 TB_Glc_amp_kan 25uMIPTG_200nMaTet_8.mzXML,931402.784667969,643612.633422852,464484.649414062,17495249.8701172,2908662.55297852,2929544.84887695,0.0367878503,8,sample,-5.848045276,4.15335742,7.525227692,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS304,1.5970927016,MVARBS304 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.566,2.572
MVARBS305 TB_Glc_amp_kan 25uMIPTG_200nMaTet_20.mzXML,129036.91015625,50306.8424987793,93161.3503417969,15355079.8227539,2547891.39306641,2589328.70898438,0.0032762345,20,sample,-17.9202114665,-7.1994583453,-3.1148101082,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS305,0.1422331065,MVARBS305 TB_Glc_amp_kan 25uMIPTG_200nMaTet,2.433,2.788
MVARBS306 TB_Glc_amp_kan 25uMIPTG_200nMaTet_32.mzXML,847342.647460938,590865.100036621,443439.451660156,15484120.6290283,2553357.3659668,2609334.06494141,0.0381594224,32,sample,-5.3539525224,4.6180084126,7.9607059228,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS306,1.656637573,MVARBS306 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.202,2.24
MVARBS307 TB_Glc_amp_kan 25uMIPTG_200nMaTet_44.mzXML,376539.6015625,215796.088256836,198679.208496094,14907879.6445312,2468074.66137695,2474026.92602539,0.0144753039,44,sample,-13.8858781917,-3.4055209787,0.4409277657,<LOD,<LOD,NA,170731xxxLIM02.xls,MVARBS307,0.6284249285,MVARBS307 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.794,2.362
MVARBS308 TB_Glc_amp_kan 25uMIPTG_200nMaTet_56.mzXML,798563.124755859,553808.128417969,416614.166748047,15223226.5494385,2560884.43652344,2531994.64794922,0.0363791557,56,sample,-5.9952727242,4.0149028901,7.3954659252,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS308,1.5793497993,MVARBS308 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.855,1.767
MVARBS309 TB_Glc_amp_kan 25uMIPTG_200nMaTet_68.mzXML,1015277.23022461,703422.650146484,518728.857177734,17011341.9150391,2822122.96044922,2872233.24804688,0.0413502153,68,sample,-4.2045068607,5.6989614597,8.9737921492,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS309,1.7951613494,MVARBS309 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.002,2.372
MVARBS310 TB_Glc_amp_kan 25uMIPTG_200nMaTet_80.mzXML,127415.636230469,59286.0618286133,98522.8505859375,17640119.9912109,2989824.96948242,3020765.90258789,0.003360865,80,sample,-17.8897243288,-7.1707878604,-3.0879396781,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS310,0.1459072197,MVARBS310 TB_Glc_amp_kan 25uMIPTG_200nMaTet,2.019,1.065
